date,open,high,low,close,volume,cap
2020-01-25,8438.99000000,8451.26000000,8254.90000000,8340.58000000,25521.15793200,25521.15793200
2020-01-26,8340.01000000,8618.13000000,8293.66000000,8615.00000000,31130.48516400,31130.48516400
2020-01-27,8614.39000000,9000.00000000,8535.00000000,8907.57000000,53973.54299600,53973.54299600
2020-01-28,8907.57000000,9400.00000000,8862.40000000,9374.21000000,74584.85376500,74584.85376500
2020-01-29,9375.34000000,9449.24000000,9216.00000000,9301.53000000,53864.06512200,53864.06512200
2020-01-30,9301.57000000,9578.00000000,9204.44000000,9513.21000000,60626.74425900,60626.74425900
2020-01-31,9511.52000000,9530.22000000,9210.01000000,9352.89000000,45552.02235200,45552.02235200
2020-02-01,9351.71000000,9464.53000000,9281.00000000,9384.61000000,28578.06735400,28578.06735400
2020-02-02,9384.41000000,9477.03000000,9120.00000000,9331.51000000,45690.91254000,45690.91254000
2020-02-03,9331.59000000,9618.79000000,9234.00000000,9292.24000000,50892.13345100,50892.13345100
2020-02-04,9291.35000000,9350.00000000,9093.01000000,9197.02000000,53308.17526600,53308.17526600
2020-02-05,9197.02000000,9744.45000000,9177.22000000,9612.04000000,64870.41561500,64870.41561500
2020-02-06,9612.03000000,9862.57000000,9526.35000000,9772.00000000,64949.70658800,64949.70658800
2020-02-07,9772.00000000,9885.00000000,9730.00000000,9813.73000000,43966.11463200,43966.11463200
2020-02-08,9813.87000000,9940.00000000,9667.11000000,9895.05000000,43600.84366600,43600.84366600
2020-02-09,9895.04000000,10166.00000000,9880.75000000,10151.75000000,43408.47561600,43408.47561600
2020-02-10,10151.72000000,10188.00000000,9756.00000000,9851.83000000,59573.08461900,59573.08461900
2020-02-11,9851.74000000,10323.59000000,9700.00000000,10223.08000000,62422.39522400,62422.39522400
2020-02-12,10223.08000000,10450.00000000,10223.08000000,10326.46000000,61008.06393000,61008.06393000
2020-02-13,10325.33000000,10500.00000000,10080.00000000,10229.63000000,79344.35875900,79344.35875900
2020-02-14,10227.78000000,10381.56000000,10111.37000000,10344.36000000,47038.48017300,47038.48017300
2020-02-15,10344.36000000,10375.00000000,9801.00000000,9904.72000000,57657.20294700,57657.20294700
2020-02-16,9904.46000000,10050.00000000,9638.12000000,9917.27000000,60023.99953700,60023.99953700
2020-02-17,9910.70000000,9964.16000000,9452.67000000,9706.00000000,70261.01190100,70261.01190100
2020-02-18,9706.00000000,10250.00000000,9576.01000000,10164.71000000,70604.12401900,70604.12401900
2020-02-19,10164.78000000,10250.00000000,9350.00000000,9593.79000000,55162.58689500,55162.58689500
2020-02-20,9594.65000000,9699.00000000,9400.00000000,9596.42000000,60152.34291400,60152.34291400
2020-02-21,9597.21000000,9755.51000000,9550.21000000,9677.05000000,42181.55452400,42181.55452400
2020-02-22,9677.05000000,9709.17000000,9560.02000000,9650.86000000,24636.75762300,24636.75762300
2020-02-23,9650.85000000,9990.00000000,9645.00000000,9936.40000000,37702.08984300,37702.08984300
2020-02-24,9936.40000000,9990.00000000,9473.56000000,9656.13000000,55796.59612000,55796.59612000
2020-02-25,9655.52000000,9675.00000000,9250.00000000,9315.84000000,54379.34455200,54379.34455200
2020-02-26,9316.48000000,9377.44000000,8633.63000000,8785.25000000,92130.34548200,92130.34548200
2020-02-27,8786.00000000,8971.77000000,8531.00000000,8823.21000000,72483.57876200,72483.57876200
2020-02-28,8823.25000000,8900.00000000,8445.00000000,8692.91000000,71155.20897700,71155.20897700
2020-02-29,8690.80000000,8790.00000000,8523.55000000,8523.61000000,36748.18303500,36748.18303500
2020-03-01,8523.61000000,8750.00000000,8411.00000000,8531.88000000,43892.20177900,43892.20177900
2020-03-02,8530.30000000,8965.75000000,8498.00000000,8915.24000000,60401.31773000,60401.31773000
2020-03-03,8911.18000000,8919.65000000,8651.00000000,8760.07000000,55154.99728200,55154.99728200
2020-03-04,8760.07000000,8848.29000000,8660.00000000,8750.87000000,38696.48257800,38696.48257800
2020-03-05,8750.99000000,9159.42000000,8746.54000000,9054.68000000,58201.86635500,58201.86635500
2020-03-06,9054.64000000,9170.00000000,8985.50000000,9131.88000000,43782.94804400,43782.94804400
2020-03-07,9130.89000000,9188.00000000,8835.00000000,8886.66000000,45422.20452500,45422.20452500
2020-03-08,8885.25000000,8886.76000000,8000.00000000,8033.31000000,77537.31516600,77537.31516600
2020-03-09,8034.76000000,8179.31000000,7632.01000000,7929.87000000,116968.86326800,116968.86326800
2020-03-10,7929.87000000,8149.00000000,7728.01000000,7894.56000000,86783.44387500,86783.44387500
2020-03-11,7894.57000000,7980.00000000,7590.00000000,7934.52000000,79942.41117200,79942.41117200
2020-03-12,7934.58000000,7966.17000000,4410.00000000,4800.00000000,261505.60865300,261505.60865300
2020-03-13,4800.01000000,5955.00000000,3782.13000000,5578.60000000,402201.67376400,402201.67376400
2020-03-14,5576.05000000,5640.52000000,5055.13000000,5172.06000000,136910.13597400,136910.13597400
2020-03-15,5172.48000000,5940.00000000,5093.10000000,5361.30000000,139916.14653400,139916.14653400
2020-03-16,5360.33000000,5365.42000000,4442.12000000,5028.97000000,227276.92276000,227276.92276000
2020-03-17,5028.86000000,5525.00000000,4921.45000000,5312.64000000,150089.92631800,150089.92631800
2020-03-18,5312.64000000,5436.17000000,5009.37000000,5393.04000000,137127.63489400,137127.63489400
2020-03-19,5393.26000000,6400.00000000,5252.53000000,6162.37000000,199020.87343900,199020.87343900
2020-03-20,6162.05000000,6900.00000000,5670.00000000,6208.36000000,219298.32951400,219298.32951400
2020-03-21,6204.57000000,6456.98000000,5860.02000000,6186.98000000,128913.66836300,128913.66836300
2020-03-22,6187.04000000,6407.87000000,5734.01000000,5816.19000000,119115.99052700,119115.99052700
2020-03-23,5816.05000000,6600.00000000,5688.00000000,6467.31000000,164674.21578500,164674.21578500
2020-03-24,6465.25000000,6833.00000000,6371.33000000,6744.72000000,151138.00987800,151138.00987800
2020-03-25,6744.69000000,6957.96000000,6450.00000000,6677.43000000,132155.73498900,132155.73498900
2020-03-26,6677.42000000,6780.00000000,6510.00000000,6737.36000000,83026.55521100,83026.55521100
2020-03-27,6737.27000000,6842.59000000,6261.00000000,6359.11000000,82914.96835400,82914.96835400
2020-03-28,6359.11000000,6360.00000000,6024.00000000,6236.65000000,93159.69342900,93159.69342900
2020-03-29,6236.65000000,6266.00000000,5866.56000000,5881.42000000,63311.62771400,63311.62771400
2020-03-30,5880.50000000,6599.00000000,5857.76000000,6394.38000000,118889.54999200,118889.54999200
2020-03-31,6394.45000000,6523.23000000,6321.40000000,6410.44000000,72337.59525900,72337.59525900
2020-04-01,6412.14000000,6679.94000000,6150.11000000,6642.92000000,97500.75240000,97500.75240000
2020-04-02,6643.36000000,7198.00000000,6551.00000000,6794.09000000,149299.90687100,149299.90687100
2020-04-03,6793.86000000,7048.00000000,6602.10000000,6734.10000000,104080.27693900,104080.27693900
2020-04-04,6732.97000000,6990.41000000,6650.01000000,6856.99000000,72990.86113900,72990.86113900
2020-04-05,6857.41000000,6895.54000000,6677.52000000,6772.78000000,49685.35698300,49685.35698300
2020-04-06,6772.78000000,7355.14000000,6765.00000000,7329.90000000,118052.00083200,118052.00083200
2020-04-07,7329.90000000,7459.69000000,7077.00000000,7197.32000000,103585.16891800,103585.16891800
2020-04-08,7197.32000000,7420.00000000,7150.00000000,7361.28000000,76059.14583800,76059.14583800
2020-04-09,7360.26000000,7371.92000000,7108.08000000,7283.54000000,61094.87241700,61094.87241700
2020-04-10,7283.54000000,7295.75000000,6739.98000000,6858.92000000,104674.62337500,104674.62337500
2020-04-11,6858.92000000,6944.30000000,6760.00000000,6876.83000000,45470.29320600,45470.29320600
2020-04-12,6876.84000000,7177.00000000,6780.00000000,6903.79000000,73868.66650100,73868.66650100
2020-04-13,6903.79000000,6903.79000000,6575.00000000,6837.91000000,96415.47657300,96415.47657300
2020-04-14,6838.04000000,6978.00000000,6754.28000000,6868.70000000,69068.62328500,69068.62328500
2020-04-15,6868.57000000,6933.00000000,6605.00000000,6621.24000000,61571.38499400,61571.38499400
2020-04-16,6621.25000000,7190.00000000,6468.27000000,7101.94000000,125009.85753900,125009.85753900
2020-04-17,7101.99000000,7148.12000000,6972.98000000,7027.55000000,54126.50976300,54126.50976300
2020-04-18,7026.78000000,7293.08000000,7014.40000000,7248.60000000,49488.54281900,49488.54281900
2020-04-19,7248.60000000,7266.15000000,7055.60000000,7120.74000000,45664.86393000,45664.86393000
2020-04-20,7121.40000000,7220.00000000,6751.00000000,6826.83000000,90149.49137000,90149.49137000
2020-04-21,6828.98000000,6940.00000000,6762.00000000,6841.37000000,60109.71080800,60109.71080800
2020-04-22,6841.36000000,7156.38000000,6818.00000000,7125.14000000,61486.37733400,61486.37733400
2020-04-23,7125.12000000,7738.00000000,7020.00000000,7482.39000000,102773.56956100,102773.56956100
2020-04-24,7483.96000000,7615.96000000,7388.00000000,7505.00000000,60182.11993900,60182.11993900
2020-04-25,7505.00000000,7705.00000000,7431.07000000,7538.67000000,43874.42772600,43874.42772600
2020-04-26,7539.03000000,7700.00000000,7480.00000000,7693.10000000,50522.61620900,50522.61620900
2020-04-27,7693.10000000,7792.02000000,7606.00000000,7774.62000000,65441.33957600,65441.33957600
2020-04-28,7773.51000000,7780.00000000,7659.12000000,7738.98000000,46302.75263800,46302.75263800
2020-04-29,7738.58000000,8952.89000000,7710.05000000,8778.57000000,183546.88751400,183546.88751400
2020-04-30,8778.58000000,9460.00000000,8401.00000000,8620.00000000,206277.21412400,206277.21412400
2020-05-01,8620.00000000,9059.18000000,8613.56000000,8826.96000000,91468.81505900,91468.81505900
2020-05-02,8825.67000000,9010.00000000,8753.00000000,8972.05000000,59002.08755000,59002.08755000
2020-05-03,8972.58000000,9200.00000000,8712.00000000,8894.16000000,90126.06564300,90126.06564300
2020-05-04,8894.15000000,8950.00000000,8522.00000000,8871.96000000,84418.51233100,84418.51233100
2020-05-05,8871.92000000,9118.58000000,8760.00000000,9021.83000000,76480.76534200,76480.76534200
2020-05-06,9021.36000000,9395.00000000,8906.21000000,9142.92000000,105925.30242000,105925.30242000
2020-05-07,9143.40000000,10067.00000000,9021.00000000,9986.40000000,147154.61137800,147154.61137800
